City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Geraldton,AU,66.13,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
3,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
9,Atuona,PF,78.42,few clouds,-9.8,-139.0333,Villa Enata
10,Thompson,CA,60.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
11,Great Yarmouth,GB,63.45,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
12,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Seoul,KR,93.61,clear sky,37.5683,126.9778,롯데호텔 서울
14,Rikitea,PF,69.49,clear sky,-23.1203,-134.9692,People ThankYou
15,Langsa,ID,87.71,broken clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
17,Touros,BR,72.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
18,Faanui,PF,78.75,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
20,Matara,LK,81.12,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
22,Samarai,PG,80.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
26,Puerto Ayora,EC,72.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Lompoc,US,69.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
28,Jamestown,US,72.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
30,Cabo San Lucas,MX,90.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
31,Presidencia Roque Saenz Pena,AR,79.21,scattered clouds,-26.7852,-60.4388,Hotel Gualok
34,Lorengau,PG,85.03,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
35,Nizwa,OM,85.95,broken clouds,22.9333,57.5333,Orient Apartments
36,Posse,BR,62.38,clear sky,-14.0931,-46.3694,Pousada das Palmeiras
37,Norman Wells,CA,68.04,broken clouds,65.282,-126.8329,Heritage Hotel
38,Portland,US,89.2,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
42,Sinnamary,GF,77.23,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
44,Cayenne,GF,79.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
46,Labuhan,ID,84.25,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
48,Ribeira Grande,PT,69.78,few clouds,38.5167,-28.7,Quinta da Meia Eira
50,Celestun,MX,80.26,scattered clouds,20.8667,-90.4,Posada Lilia
51,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
52,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
53,Coos Bay,US,63.99,fog,43.3665,-124.2179,Best Western Holiday Hotel
