City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,72.3,69,100,5.84,overcast clouds
1,Geraldton,AU,-28.7667,114.6,66.13,77,90,6.91,overcast clouds
2,Esperance,AU,-33.8667,121.9,58.84,63,98,20.33,overcast clouds
3,Georgetown,MY,5.4112,100.3354,87.73,79,20,1.01,few clouds
4,Pangnirtung,CA,66.1451,-65.7125,47.59,90,100,13.02,moderate rain
5,Cape Town,ZA,-33.9258,18.4232,51.12,66,100,3.44,mist
6,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,87,1,0,clear sky
7,Mataura,NZ,-46.1927,168.8643,50.49,80,94,3.56,light rain
8,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,13.8,broken clouds
9,Atuona,PF,-9.8,-139.0333,78.42,70,15,17.85,few clouds
10,Thompson,CA,55.7435,-97.8558,60.96,94,90,5.75,overcast clouds
11,Great Yarmouth,GB,52.6083,1.7305,63.45,95,100,5.03,overcast clouds
12,Kapaa,US,22.0752,-159.319,84.52,81,90,3,light rain
13,Seoul,KR,37.5683,126.9778,93.61,44,0,6.91,clear sky
14,Rikitea,PF,-23.1203,-134.9692,69.49,56,0,0.18,clear sky
15,Langsa,ID,4.4683,97.9683,87.71,61,73,3.83,broken clouds
16,Saskylakh,RU,71.9167,114.0833,71.35,56,100,6.55,overcast clouds
17,Touros,BR,-5.1989,-35.4608,72.5,83,0,14.92,clear sky
18,Faanui,PF,-16.4833,-151.75,78.75,68,13,10.83,few clouds
19,Hilo,US,19.7297,-155.09,78.8,87,90,4.61,light rain
20,Matara,LK,5.9485,80.5353,81.12,80,33,9.62,scattered clouds
21,New Norfolk,AU,-42.7826,147.0587,43.57,58,68,11.54,broken clouds
22,Samarai,PG,-10.6167,150.6667,80.13,83,97,14.52,overcast clouds
23,Dalvik,IS,65.9702,-18.5286,51.73,78,71,5.79,broken clouds
24,Yellowknife,CA,62.456,-114.3525,59.29,47,40,1.01,scattered clouds
25,Kangshan,CN,28.8812,116.4311,84.18,70,83,16.35,broken clouds
26,Puerto Ayora,EC,-0.7393,-90.3518,72.55,88,5,5.99,clear sky
27,Lompoc,US,34.6391,-120.4579,69.57,82,90,11.5,overcast clouds
28,Jamestown,US,42.097,-79.2353,72.99,82,1,5.01,clear sky
29,Hay River,CA,60.8156,-115.7999,51.78,66,75,4.61,broken clouds
30,Cabo San Lucas,MX,22.8909,-109.9124,90.52,72,1,7,clear sky
31,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,79.21,35,30,11.01,scattered clouds
32,Hermanus,ZA,-34.4187,19.2345,50.9,50,100,6.08,overcast clouds
33,Hobart,AU,-42.8794,147.3294,43.92,74,57,3,broken clouds
34,Lorengau,PG,-2.0226,147.2712,85.03,65,40,5.14,scattered clouds
35,Nizwa,OM,22.9333,57.5333,85.95,58,71,1.99,broken clouds
36,Posse,BR,-14.0931,-46.3694,62.38,58,0,8.63,clear sky
37,Norman Wells,CA,65.282,-126.8329,68.04,37,75,11.5,broken clouds
38,Portland,US,45.5234,-122.6762,89.2,45,1,1.99,clear sky
39,Igrim,RU,63.1906,64.4162,53.8,54,2,11.86,clear sky
40,Boksitogorsk,RU,59.474,33.8485,47.61,69,17,3.36,few clouds
41,Punta Arenas,CL,-53.15,-70.9167,37.51,87,75,18.41,broken clouds
42,Sinnamary,GF,5.3833,-52.95,77.23,88,98,9.42,light rain
43,Kodiak,US,57.79,-152.4072,52.32,88,99,4.54,overcast clouds
44,Cayenne,GF,4.9333,-52.3333,79.09,87,0,1.01,light rain
45,Ushuaia,AR,-54.8,-68.3,38.86,75,75,2.3,broken clouds
46,Labuhan,ID,-6.8844,112.2051,84.25,60,2,5.37,clear sky
47,Port Alfred,ZA,-33.5906,26.891,53.46,42,1,9.62,clear sky
48,Ribeira Grande,PT,38.5167,-28.7,69.78,90,20,13.78,few clouds
49,Tasiilaq,GL,65.6145,-37.6368,42.96,97,100,2.8,overcast clouds
50,Celestun,MX,20.8667,-90.4,80.26,84,47,12.15,scattered clouds
51,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,20,10.36,few clouds
52,Mahon,ES,39.8885,4.2658,77.56,69,0,20.71,clear sky
53,Coos Bay,US,43.3665,-124.2179,63.99,90,90,16.11,fog
54,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,45,75,18.41,broken clouds
55,Mehamn,NO,71.0357,27.8492,44.47,84,100,20.8,overcast clouds
56,Maxixe,MZ,-23.8597,35.3472,63.54,62,99,9.26,overcast clouds
57,Bredasdorp,ZA,-34.5322,20.0403,40.32,87,98,4.61,overcast clouds
58,Kahului,US,20.8947,-156.47,85.26,82,40,26.46,scattered clouds
59,Banjarmasin,ID,-3.3244,114.591,84.34,51,9,6.4,clear sky
60,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.22,99,100,0.56,moderate rain
61,Salinas,US,36.6777,-121.6555,77.52,76,90,13.8,overcast clouds
62,Laurel,US,39.0993,-76.8483,78.94,72,90,4,overcast clouds
63,Hithadhoo,MV,-0.6,73.0833,82.04,77,92,10.04,overcast clouds
64,Hailar,CN,49.2,119.7,70.16,58,40,12.01,scattered clouds
65,Rockland,US,41.1668,-74.0496,75.43,72,100,6.76,overcast clouds
66,Barrow,US,71.2906,-156.7887,44.62,81,90,4.61,overcast clouds
67,Yumen,CN,40.2833,97.2,85.5,23,1,4.94,clear sky
68,Sfantu Gheorghe,RO,45.8667,25.7833,56.93,80,2,1.01,clear sky
69,East London,ZA,-33.0153,27.9116,51.31,48,0,8.99,clear sky
70,Jepara,ID,-5.1695,105.7044,87.53,58,20,8.03,few clouds
71,Naze,JP,28.3667,129.4833,79.72,89,100,20.09,moderate rain
72,Nizhnevartovsk,RU,60.9344,76.5531,64.42,82,90,2.24,overcast clouds
73,Hasaki,JP,35.7333,140.8333,91.29,74,18,11.81,few clouds
74,Salto De Agua,MX,17.6167,-92.3667,80.62,83,100,1.14,overcast clouds
75,Talnakh,RU,69.4865,88.3972,49.06,92,100,5.5,moderate rain
76,Troitsko-Pechorsk,RU,62.7084,56.1964,46.29,80,66,8.28,broken clouds
77,Port Lincoln,AU,-34.7333,135.8667,59.13,74,44,27.11,scattered clouds
78,Marsabit,KE,2.3284,37.9899,58.15,77,93,20.13,overcast clouds
79,Lebu,CL,-37.6167,-73.65,50.36,89,98,23.73,light rain
80,Atherton,GB,53.5237,-2.4935,59.29,84,100,6.33,overcast clouds
81,Nantucket,US,41.2835,-70.0995,70,91,1,6.91,clear sky
82,Saldanha,ZA,-33.0117,17.9442,46.45,45,100,10.8,overcast clouds
83,Cidreira,BR,-30.1811,-50.2056,61.43,77,29,6.71,scattered clouds
84,Tautira,PF,-17.7333,-149.15,78.82,76,61,5.75,light rain
85,Jiwani,PK,25.05,61.7417,82.56,83,82,6.96,broken clouds
86,Nikolskoye,RU,59.7035,30.7861,58.8,55,100,5.46,overcast clouds
87,Tiksi,RU,71.6872,128.8694,44.94,76,78,6.13,broken clouds
88,Busselton,AU,-33.65,115.3333,63.05,67,71,19.28,broken clouds
